ATCCode|ATCName
R05CB06|ambroxol
V09GX01|thallium (201Tl) chloride
D01AE04|undecylenic acid
R06AD02|promethazine
J07AG|Hemophilus influenzae B vaccines
N06BA04|methylphenidate
J01AA07|tetracycline
B05CX|Other irrigating solutions
R03DC01|zafirlukast
A16AA06|betaine
N05AB03|perphenazine
C03BA08|metolazone
R03DB|Xanthines and adrenergics
A01AD01|epinephrine
A12CX|Other mineral products
V04CJ02|protirelin
N01BA01|metabutethamine
B03AE|Iron in other combinations
N05AH01|loxapine
A05AA02|ursodeoxycholic acid
A03FA01|metoclopramide
R03DC03|montelukast
H02AB04|methylprednisolone
J07BA02|encephalitis, Japanese, inactivated, whole virus
M03BC01|orphenadrine (citrate)
G03|SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
C02AA02|reserpine
B05XB02|alanyl glutamine
G02AD04|carboprost
R06AE03|cyclizine
G03FA13|norgestimate and estrogen
N02AA|Natural opium alkaloids
N01BA52|procaine, combinations
J01DC06|cefonicid
G04BD09|trospium
G03FB05|norethisterone and estrogen
C09AA09|fosinopril
S01XA02|retinol
A11DA|Vitamin B1, plain
J05AX02|lysozyme
D07CC05|fluocinonide and antibiotics
D06BB10|imiquimod
C01BB01|lidocaine
R03BA01|beclometasone
N01BX03|phenol
N04BA|Dopa and dopa derivatives
B02AA02|tranexamic acid
S01KA02|hypromellose
P02CX01|pyrvinium
A12CC05|magnesium aspartate
B01AD|Enzymes
G03XB01|mifepristone
S01AD03|aciclovir
S01GA05|phenylephrine
B01AB10|tinzaparin
P03AC03|phenothrin
A14AA08|oxandrolone
B01AD02|alteplase
M02AA23|indometacin
N02BA11|diflunisal
J01AA06|oxytetracycline
A02AD04|hydrotalcite
A11DA03|benfotiamine
B02BD08|eptacog alfa (activated)
C02LC01|clonidine and diuretics
B02BB01|fibrinogen, human
D08AH03|oxyquinoline
J05AB06|ganciclovir
N02AX52|Show text from Guidelines
S01EC04|brinzolamide
C10AA03|pravastatin
A02BC03|lansoprazole
B06AA55|streptokinase, combinations
J02AB02|ketoconazole
C05CA01|rutoside
R05DA07|noscapine
A11J|OTHER VITAMIN PRODUCTS, COMBINATIONS
M01AB02|sulindac
M03BB52|chlormezanone, combinations excl. psycholeptics
A04AA|Serotonin (5HT3) antagonists
S01XA05|sodium edetate
N01AX13|nitrous oxide
L01XE01|imatinib
B01AA03|warfarin
B01AC05|ticlopidine
D01AC01|clotrimazole
D06AX01|fusidic acid
A07BB|Bismuth preparations
J01MB04|pipemidic acid
L04AA21|efalizumab
V08AB04|iopamidol
P02BA01|praziquantel
A11AB|Multivitamins, other combinations
M02AA19|flurbiprofen
N02AA02|opium
C01DA08|isosorbide dinitrate
G02B|CONTRACEPTIVES FOR TOPICAL USE
C05AD05|procaine
R06AB|Substituted alkylamines
S01AA24|kanamycin
A11AA01|multivitamins and iron
A02BX05|bismuth subcitrate
N02AB03|fentanyl
D07AB09|triamcinolone
J01XA02|teicoplanin
G03AA|Progestogens and estrogens, fixed combinations
J07AF01|diphtheria toxoid
J07AJ51|pertussis, inactivated, whole cell, combinations with toxoids
D08AK06|thiomersal
J05AF09|emtricitabine
N01BB53|mepivacaine, combinations
D07CC|Corticosteroids, potent, combinations with antibiotics
M03BB|Oxazol, thiazine, and triazine derivatives
V09A|CENTRAL NERVOUS SYSTEM
L03AA03|molgramostim
J06BB01|anti-D (rh) immunoglobulin
V01AA|Allergen extracts
S01AA23|netilmicin
P02CA01|mebendazole
R06AX17|ketotifen
C10AC04|colesevelam
N02BA55|salicylamide, combinations excl. psycholeptics
B05XA02|sodium bicarbonate
N03AB02|phenytoin
S01JA01|fluorescein
C08CA06|nimodipine
N07BC02|methadone
V09AA|Technetium (99mTc) compounds
A11HA05|biotin
B05BA01|amino acids
A03AB05|propantheline
A07DA02|opium
G02CB02|lisuride
H04AA01|glucagon
S01CA|Corticosteroids and antiinfectives in combination
J01CR50|combinations of penicillins
D07CB04|dexamethasone and antibiotics
C10AB02|bezafibrate
G02C|OTHER GYNECOLOGICALS
J01EB06|sulfanilamide
C02AC01|clonidine
D06BB07|lysozyme
N05AB04|prochlorperazine
V09FX03|sodium iodide (131I)
V08CA05|mangafodipir
S02CA04|triamcinolone and antiinfectives
R06AX58|pyrrobutamine, combinations
M05BX03|strontium ranelate
V03|ALL OTHER THERAPEUTIC PRODUCTS
C08DB01|diltiazem
R05CA03|guaifenesin
H03BB02|thiamazole
N02AA59|codeine, combinations excl. psycholeptics
L01XX05|hydroxycarbamide
G03FA01|norethisterone and estrogen
D03AX01|cadexomer iodine
A16AX01|thioctic acid
G04CA04|silodosin
V03AF01|mesna
S01GX05|lodoxamide
J05AG03|efavirenz
A12AA01|calcium phosphate
J01XC01|fusidic acid
D07CC02|fluocinolone acetonide and antibiotics
L04AA08|Show text from Guidelines
V03AB32|glutathione
A11HA02|pyridoxine (vit B6)
C07CB03|atenolol and other diuretics
L03AB09|interferon alfacon-1
G03AC06|medroxyprogesterone
N05BA01|diazepam
J01MA03|pefloxacin
M02AA05|benzydamine
D06BB05|inosine
D08AK04|mercurochrome
S02BA03|prednisolone
C01EB03|indometacin
M01AE01|ibuprofen
V09IB|Indium (111In) compounds
G01AX03|policresulen
V03AC03|deferasirox
N01BB03|mepivacaine
B03AE04|iron, multivitamins and minerals
C02CC02|guanethidine
B06AB|Other hem products
P01AB03|ornidazole
J01FF02|lincomycin
R03BA08|ciclesonide
S01AA12|tobramycin
J01CA02|pivampicillin
G04BD06|propiverine
V04CA01|tolbutamide
D01AE14|ciclopirox
A10BF02|miglitol
D11AX03|calcium gluconate
R05DA04|codeine
C03EA|Low-ceiling diuretics and potassium-sparing agents
C03AA06|trichlormethiazide
D08AG|Iodine products
J07CA|Bacterial and viral vaccines, combined
S03AA01|neomycin
C07AB05|betaxolol
A02AA01|magnesium carbonate
S01CB01|dexamethasone
R03CC03|terbutaline
A02AD|Combinations and complexes of aluminium, calcium and magnesium compounds
M01AG01|mefenamic acid
L02AE02|leuprorelin
R06AB52|dexchlorpheniramine, combinations
L01XE02|gefitinib
D01AC11|oxiconazole
G03AC01|norethisterone
A12AA|Calcium
L02BA02|toremifene
R03CC04|fenoterol
R01AX|Other nasal preparations
A12CC|Magnesium
A09AC|Enzyme and acid preparations, combinations
D01AE22|naftifine
D03AX06|becaplermin
A06AG06|oil
C08CA13|lercanidipine
A12AA07|calcium chloride
G03FB09|levonorgestrel and estrogen
N05AL01|sulpiride
N04BC04|ropinirole
G03AA03|lynestrenol and ethinylestradiol
S02AA11|polymyxin B
C04AX11|bencyclane
M02AA12|naproxen
J01DD13|cefpodoxime
G01AD03|ascorbic acid
V08AA05|ioxitalamic acid
C07AA07|sotalol
M02AA07|piroxicam
A02AX|Antacids, other combinations
R03AA01|epinephrine
A06AD04|magnesium sulfate
L04AA04|antithymocyte immunoglobulin (rabbit)
R06AX02|cyproheptadine
A07EA04|betamethasone
J05AR06|emtricitabine, tenofovir disoproxil and efavirenz
C01DA02|glyceryl trinitrate
A02BX|Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
A10AD|Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting
J07BD54|measles, combinations with mumps, rubella and varicella, live attenuated
B05BA10|combinations
S01AA18|polymyxin B
M02A|TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
J01XX09|daptomycin
N01AF01|methohexital
B03BA04|cobamamide
A07BC05|diosmectite
A01AC|Corticosteroids for local oral treatment
L01BB04|cladribine
N04BC02|pergolide
A06AB05|castor oil
D07AC07|fludroxycortide
N01BB08|articaine
A11BA|Multivitamins, plain
N06AX18|reboxetine
S02BA|Corticosteroids
A10BA02|metformin
B05XA09|sodium phosphate
A02BA03|famotidine
S01LA03|pegaptanib
S01BA14|loteprednol
S01XA08|acetylcysteine
J02AC01|fluconazole
V03AB26|methionine
H01CA02|nafarelin
D08AE01|hexachlorophene
J01EC01|sulfamethoxazole
C10AX09|ezetimibe
J05AR01|zidovudine and lamivudine
M05BA01|etidronic acid
C05AD02|tetracaine
B06AA|Enzymes
M01AE04|fenoprofen
N01AH02|alfentanil
S01X|OTHER OPHTHALMOLOGICALS
A02AD03|almagate
L04AX02|thalidomide
R05DB20|combinations
B03BB51|folic acid, combinations
A06AB57|cascara, combinations
A06AB06|senna glycosides
G04CA03|terazosin
B02BX02|carbazochrome
J01DB08|cefapirin
C07AA|Beta blocking agents, non-selective
G04CA02|tamsulosin
N03AG|Fatty acid derivatives
A07|ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
N04BC09|rotigotine
N02BE05|propacetamol
J01CF02|cloxacillin
V06DX|Other combinations of nutrients
J01MA02|ciprofloxacin
N07CA|Antivertigo preparations
D11AX01|minoxidil
C09DA03|valsartan and diuretics
S01C|ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION
J01EA01|trimethoprim
M05BA08|zoledronic acid
A10BA03|buformin
D11AC30|others
G03AC03|levonorgestrel
L01XX32|bortezomib
L01AC01|thiotepa
J05AE10|darunavir
C01CA|Adrenergic and dopaminergic agents
R01AD09|mometasone
N02BG06|nefopam
S01CA01|dexamethasone and antiinfectives
S01GX09|olopatadine
M02AX|Other topical products for joint and muscular pain
V08AB09|iodixanol
N05AH03|olanzapine
J07CA02|diphtheria-pertussis-poliomyelitis-tetanus
B03AD02|ferrous fumarate
A10AE05|insulin detemir
A07CA|Oral rehydration salt formulations
J01DB03|cefalotin
D11AX18|diclofenac
J01CE30|combinations
N03AX11|topiramate
D08A|ANTISEPTICS AND DISINFECTANTS
A03BA01|atropine
D08AX06|potassium permanganate
C08CA08|nitrendipine
N06BX01|meclofenoxate
N02CA52|ergotamine, combinations excl. psycholeptics
N02CA02|ergotamine
R05CB04|eprazinone
P02C|ANTINEMATODAL AGENTS
C04AD02|xantinol nicotinate
C05AA|Corticosteroids
V08BA|Barium sulfate containing X-ray contrast media
J01DC04|cefaclor
J01DD05|cefmenoxime
R06AA06|chlorphenoxamine
N05AH04|quetiapine
A02AA10|combinations
A06AB52|bisacodyl, combinations
J01FF01|clindamycin
A10BD08|metformin and vildagliptin
A02BX13|alginic acid
N05BA22|cloxazolam
J01AA09|rolitetracycline
D03AX|Other cicatrizants
A04AA05|palonosetron
A03AX03|chlorbenzoxamine
J06BA|Immunoglobulins, normal human
C05AA08|fluocortolone
D04|ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.
D10AF|Antiinfectives for treatment of acne
R03DB01|diprophylline and adrenergics
A04AA01|ondansetron
V09XX|Various diagnostic radiopharmaceuticals
S02AA|Antiinfectives
N04BA02|levodopa and decarboxylase inhibitor
G03BB01|mesterolone
S01EA02|dipivefrine
N06AB05|paroxetine
C01DA14|isosorbide mononitrate
J01CR04|sultamicillin
J01DB04|cefazolin
J07|VACCINES
V04CC02|magnesium sulfate
D07AB02|hydrocortisone butyrate
M03BX04|tolperisone
D06BB04|podophyllotoxin
S01L|OCULAR VASCULAR DISORDER AGENTS
V03AB02|nalorphine
N06AX03|mianserin
C09AA01|captopril
J01CG01|sulbactam
J05AE09|tipranavir
B05CA01|cetylpyridinium
A12CD|Fluoride
J01CG02|tazobactam
D04AA09|chloropyramine
N06AG02|moclobemide
A12CA|Sodium
J06BB09|cytomegalovirus immunoglobulin
B05XA05|magnesium sulfate
A10BB02|chlorpropamide
G03DA04|progesterone
C04AX02|phenoxybenzamine
J01CR03|ticarcillin and enzyme inhibitor
C09CA08|olmesartan medoxomil
J01FA06|roxithromycin
R05CB01|acetylcysteine
D07CA03|prednisolone and antibiotics
R01AC01|cromoglicic acid
A04AD12|aprepitant
C01AA05|digoxin
N06AX06|nefazodone
A02AB|Aluminium compounds
N01BA02|procaine
J04AD02|tiocarlide
P01AB01|metronidazole
G03CB|Synthetic estrogens, plain
A06AX|Other drugs for constipation
R03CA|Alpha- and beta-adrenoreceptor agonists
N06AB08|fluvoxamine
L01BC03|tegafur
N05BA09|clobazam
J04AB04|rifabutin
L01XC03|trastuzumab
C09AA05|ramipril
J07AM51|tetanus toxoid, combinations with diphtheria toxoid
C04AE01|ergoloid mesylates
J01XB02|polymyxin B
M03BA02|carisoprodol
J04AC51|isoniazid, combinations
L01XX02|asparaginase
C05AD|Local anesthetics
S01XA12|dexpanthenol
A09AB04|citric acid
C07AA12|nadolol
S02AA01|chloramphenicol
C03DB02|triamterene
S01GX01|cromoglicic acid
N03AX09|lamotrigine
M03BX02|tizanidine
N01BA05|benzocaine
A11HA07|inositol
J05AX07|enfuvirtide
C01BA03|disopyramide
N05AX11|zotepine
A03AA05|trimebutine
N02AB02|pethidine
D11AF|Wart and anti-corn preparations
A02BA02|ranitidine
N05BA02|chlordiazepoxide
R03AC03|terbutaline
J01MB07|flumequine
J01DH51|imipenem and enzyme inhibitor
R02AD01|benzocaine
A11CC|Vitamin D and analogues
C09CA04|irbesartan
A04AD|Other antiemetics
C07AA16|tertatolol
J01MB06|cinoxacin
J07AL01|pneumococcus, purified polysaccharides antigen
A02BX02|sucralfate
M03BX|Other centrally acting agents
C01CA06|phenylephrine
B03XA|Other antianemic preparations
A07AA05|polymyxin B
G02CB05|metergoline
M01AC02|tenoxicam
N04BC07|apomorphine
P03AX01|benzyl benzoate
A10BH01|sitagliptin
V09DB07|technetium (99mTc) phytate
C09CA01|losartan
J04AB03|rifamycin
N05CM12|apronal
M01AA03|oxyphenbutazone
C05AB|Antibiotics
A10A|INSULINS AND ANALOGUES
J07BB|Influenza vaccines
V03AB33|hydroxocobalamin
A06AD01|magnesium carbonate
R01AC|Antiallergic agents, excl. corticosteroids
S02AA02|nitrofural
N05BC01|meprobamate
V06DC01|glucose
A02BC04|rabeprazole
J07BM|Papillomavirus vaccines
N06AX17|milnacipran
D06AX08|tyrothricin
M01AC05|lornoxicam
B05CX03|glycine
B05BA|Solutions for parenteral nutrition
R05DB|Other cough suppressants
P03BX01|diethyltoluamide
S02BA01|hydrocortisone
S01GA|Sympathomimetics used as decongestants
B03AD03|ferrous sulfate
R06AA09|doxylamine
N06DX|Other anti-dementia drugs
A05AA01|chenodeoxycholic acid
A10AB04|insulin lispro
G01AD|Organic acids
B01AB05|enoxaparin
G01AX06|furazolidone
C07AA05|propranolol
M04AC01|colchicine
A11CC20|combinations
J07BF03|poliomyelitis, trivalent, inactivated, whole virus
C01BD02|bretylium tosilate
A07X|OTHER ANTIDIARRHEALS
L01XE06|dasatinib
D04AA|Antihistamines for topical use
C10AD06|acipimox
D07AC16|hydrocortisone aceponate
A07AA07|amphotericin B
V08AB02|iohexol
D06AX09|mupirocin
A10AE01|insulin (human)
D07XC01|betamethasone
J07AP|Typhoid vaccines
G03AA01|etynodiol and ethinylestradiol
R03CC08|procaterol
V09GX|Other cardiovascular system diagnostic radiopharmaceuticals
C10AD02|nicotinic acid
D06AA03|oxytetracycline
A01AB17|metronidazole
N06DA04|galantamine
B02BD01|coagulation factor IX, II, VII and X in combination
N06AX05|trazodone
S01AX04|nitrofural
R06AX26|fexofenadine
M03BX06|mephenesin
C05AA11|fluocinonide
S01HA01|cocaine
S01BA02|hydrocortisone
J01DE02|cefpirome
L01BC01|cytarabine
M01AX25|chondroitin sulfate
R06AK|Combinations of antihistamines
A02AH|Antacids with sodium bicarbonate
B02BA02|menadione
S01BA06|betamethasone
S01FB01|phenylephrine
B01AX|Other antithrombotic agents
C09BB|ACE inhibitors and calcium channel blockers
B05BB01|electrolytes
R05DB21|cloperastine
A02BB01|misoprostol
P01CC02|nitrofural
L03AA02|filgrastim
N05CF02|zolpidem
D07XC02|desoximetasone
B05XA03|sodium chloride
D07AC17|fluticasone
N05CA10|cyclobarbital
M01AE08|pirprofen
D02AE51|carbamide, combinations
R02AB30|gramicidin
R05DB24|tipepidine
N05AG02|pimozide
D01AE23|butenafine
A01AB04|amphotericin B
R02AA16|benzalkonium
D01AC|Imidazole and triazole derivatives
B02BD09|Show text from Guidelines
S01GX|Other antiallergics
V09XA01|iodine (131I) norcholesterol
R05DA|Opium alkaloids and derivatives
L01BB03|tioguanine
J01DE01|cefepime
D07BA01|prednisolone and antiseptics
P01AA02|clioquinol
D07XB05|dexamethasone
R03BX01|fenspiride
N04BC03|dihydroergocryptine mesylate
N01BB58|articaine, combinations
M03BB02|chlormezanone
L01XX17|topotecan
B03BA51|cyanocobalamin, combinations
D06BX01|metronidazole
D10AF03|chloramphenicol
A03AA04|mebeverine
N05AA01|chlorpromazine
L01DC03|mitomycin
S01AB01|sulfamethizole
S01A|ANTIINFECTIVES
A06AG02|bisacodyl
B05ZB|Hemofiltrates
D10AB02|sulfur
R03DA05|aminophylline
A05AX02|hymecromone
J04AK01|pyrazinamide
V04CE01|galactose
A02AG|Antacids with antispasmodics
A02AD01|ordinary salt combinations
R01BA51|phenylpropanolamine, combinations
L01XA03|oxaliplatin
D07BC04|diflucortolone and antiseptics
J02AB01|miconazole
V08AB05|iopromide
R06AD01|alimemazine
C03BA04|chlortalidone
C02AA52|reserpine, combinations
A11HA01|nicotinamide
D06BB03|aciclovir
A11CC01|ergocalciferol
N02CC01|sumatriptan
S01AA04|oxytetracycline
N06AX01|oxitriptan
J05AB04|ribavirin
H02AB02|dexamethasone
J07AL|Pneumococcal vaccines
C05BA51|heparinoid, combinations
B02BA01|phytomenadione
J01GB06|amikacin
M03AC11|cisatracurium
P03AC52|bioallethrin, combinations
M03AC04|atracurium
C03BA03|clopamide
J01GB11|isepamicin
A07AA02|nystatin
N02CA72|ergotamine, combinations with psycholeptics
R03CC05|hexoprenaline
S01BC03|diclofenac
B01AC06|acetylsalicylic acid
R06AE05|meclozine
V08AB11|iobitridol
R01AD08|fluticasone
J01CE09|procaine benzylpenicillin
J01DB07|cefatrizine
M04AB|Preparations increasing uric acid excretion
D08AD|Boric acid products
H01AC01|somatropin
V03AN02|carbon dioxide
A12AA05|calcium lactate
N05CD02|nitrazepam
C03AA04|chlorothiazide
R03CC|Selective beta-2-adrenoreceptor agonists
D03B|ENZYMES
L01XX33|celecoxib
V07AB|Solvents and diluting agents, incl. irrigating solutions
D07BC01|betamethasone and antiseptics
R01AB05|ephedrine
C01DX02|prenylamine
A16AX02|anethole trithione
A04AD01|scopolamine
J05AF08|adefovir dipivoxil
D07CA|Corticosteroids, weak, combinations with antibiotics
M01AE07|suprofen
N03AG06|tiagabine
N03AB52|phenytoin, combinations
N01BB51|bupivacaine, combinations
C01CE02|milrinone
B05XB03|lysine
N07BA03|varenicline
A10AD05|insulin aspart
C10AC02|colestipol
D04AB04|benzocaine
J01DD04|ceftriaxone
C05CX|Other capillary stabilizing agents
N02BA77|ethenzamide, combinations with psycholeptics
A01AB22|doxycycline
N01BB01|bupivacaine
A10BB03|tolbutamide
N01BX|Other local anesthetics
J04AK02|ethambutol
N04BX02|entacapone
D07AD02|halcinonide
C09AA08|cilazapril
D01BA02|terbinafine
V04CM01|gonadorelin
L01XA01|cisplatin
N07BB04|naltrexone
M01AH05|etoricoxib
B02BC01|absorbable gelatin sponge
V03AF03|calcium folinate
M02AA|Antiinflammatory preparations, non-steroids for topical use
N05AX08|risperidone
A02AB01|aluminium hydroxide
J01FA10|azithromycin
B05CA02|chlorhexidine
G04BE09|vardenafil
N03AE01|clonazepam
A11EB|Vitamin B-complex with vitamin C
N03AX14|levetiracetam
N01AX10|propofol
J01CE08|benzathine benzylpenicillin
D08AE05|chloroxylenol
J01DC10|cefprozil
L01CB01|etoposide
B03AA03|ferrous gluconate
N07AA02|pyridostigmine
N01BB02|lidocaine
G03FB06|medroxyprogesterone and estrogen
S01AX18|povidone-iodine
N05AB|Phenothiazines with piperazine structure
J01DD07|ceftizoxime
N05AC02|thioridazine
V03AB06|thiosulfate
G03XA02|gestrinone
R05CB|Mucolytics
N03AF02|oxcarbazepine
V08AA04|iotalamic acid
A07FA51|lactic acid producing organisms, combinations
G03EK01|methyltestosterone
B01AD01|streptokinase
A03BB03|methylscopolamine
H02AB03|fluocortolone
D07AC05|fluocortolone
A11H|OTHER PLAIN VITAMIN PREPARATIONS
C10AA07|rosuvastatin
N06AB06|sertraline
A07EA02|hydrocortisone
B05BA03|carbohydrates
A02AB02|algeldrate
G01AG02|terconazole
R06AE04|chlorcyclizine
J01MB05|oxolinic acid
V09IA|Technetium (99mTc) compounds
D01AA08|griseofulvin
J07BK02|zoster, live attenuated
G03DC02|norethisterone
N01AB07|desflurane
D07AC04|fluocinolone acetonide
J01FA09|clarithromycin
C01CA24|epinephrine
D01AC07|tioconazole
R05CA02|potassium iodide
C09AA06|quinapril
A06AB20|contact laxatives in combination
A01AB11|various
R07AA02|natural phospholipids
D11AC|Medicated shampoos
R05FB|Other cough suppressants and expectorants
N05AH02|clozapine
C03BA11|indapamide
A02BX06|proglumide
D11AX|Other dermatologicals
J07BF02|poliomyelitis oral, trivalent, live attenuated
R03AC13|formoterol
J01MA06|norfloxacin
C03CC01|etacrynic acid
J02AC04|posaconazole
V09FX02|sodium iodide (123I)
P03AB02|lindane
R05FB02|cough suppressants and expectorants
A07AA10|colistin
R05FA02|opium derivatives and expectorants
C09CA03|valsartan
N01AX01|Show text from Guidelines
A04AA03|tropisetron
L01DB07|mitoxantrone
B02BD03|factor VIII inhibitor bypassing activity
D01BA01|griseofulvin
D04A|ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.
J01GB09|dibekacin
A01AD|Other agents for local oral treatment
N06AB04|citalopram
S02AA13|miconazole
C05AA01|hydrocortisone
B05XC|Vitamins
N02AF02|nalbuphine
N06AX16|venlafaxine
N02BB02|metamizole sodium
V08AA01|diatrizoic acid
B05AA02|other plasma protein fractions
S01EC01|acetazolamide
D01AE07|chlorphenesin
C09AA07|benazepril
L02BG06|exemestane
N05CD05|triazolam
A14AA03|metandienone
M01AE05|fenbufen
D01AE12|salicylic acid
J04AC01|isoniazid
A03AB12|mepenzolate
S01B|ANTIINFLAMMATORY AGENTS
M01AG03|flufenamic acid
J05AH01|zanamivir
A06AG|Enemas
B03BA|Vitamin B12 (cyanocobalamin and analogues)
A07FA01|lactic acid producing organisms
S01AA14|benzylpenicillin
V03AB25|flumazenil
C01AA08|metildigoxin
R06AE09|levocetirizine
D08AJ01|benzalkonium
L01BA04|pemetrexed
R05DB10|clofedanol
B03A|IRON PREPARATIONS
R06AE01|buclizine
D07XA|Corticosteroids, weak, other combinations
G03DC03|lynestrenol
R02AA19|phenol
N02CA01|dihydroergotamine
R05FA|Opium derivatives and expectorants
P01AX07|trimetrexate
J01XA01|vancomycin
S01AB|Sulfonamides
R03AC|Selective beta-2-adrenoreceptor agonists
S01KA|Viscoelastic substances
L01BC53|tegafur, combinations
J04AM|Combinations of drugs for treatment of tuberculosis
B03XA02|darbepoetin alfa
N02BE03|phenacetin
S01BC08|salicylic acid
N06DA03|rivastigmine
N02BE74|bucetin, combinations with psycholeptics
S01AX09|chlorhexidine
D10AD03|adapalene
B05XA|Electrolyte solutions
J01EC20|combinations
R07AB05|bemegride
V09IX04|fludeoxyglucose (18F)
J04AB01|cycloserine
A06AG04|glycerol
J05AE06|Show text from Guidelines
R03AK04|salbutamol and sodium cromoglicate
C05CA|Bioflavonoids
J01FA|Macrolides
A12BA01|potassium chloride
N01AX03|ketamine
S01EA04|clonidine
C05AX|Other agents for treatment of hemorrhoids and anal fissures for topical use
D04AX|Other antipruritics
J07AG01|hemophilus influenzae B, purified antigen conjugated
C07AB04|acebutolol
L01XD04|aminolevulinic acid
H05BX01|cinacalcet
N04BC05|pramipexole
R06AE07|cetirizine
D08AJ58|benzethonium chloride, combinations
A09AA|Enzyme preparations
S02BA07|betamethasone
V03AF04|calcium levofolinate
N02BB01|phenazone
G02CC02|naproxen
B01AX05|fondaparinux
N05AF02|clopenthixol
D10AA01|fluorometholone
B02BD05|coagulation factor VII
D05BA02|methoxsalen
V09EX|Other respiratory system diagnostic radiopharmaceuticals
C08CA03|isradipine
H05AA02|teriparatide
A02AA05|magnesium silicate
L02BG03|anastrozole
S01ED04|metipranolol
V01AA05|tree pollen
A02BA01|cimetidine
N05BD01|benzoctamine
M01BX|Other antiinflammatory/antirheumatic agents in combination with other drugs
M01AE16|alminoprofen
N05CA01|pentobarbital
S01BC01|indometacin
M01AX|Other antiinflammatory and antirheumatic agents, non-steroids
C07AG01|labetalol
J01MA12|levofloxacin
J01DD06|latamoxef
R05CA06|senega
L02AE01|buserelin
S01GA01|naphazoline
R01AD01|beclometasone
A01AB03|chlorhexidine
B01AA02|phenindione
C08CA05|nifedipine
V06B|PROTEIN SUPPLEMENTS
A12BA02|potassium citrate
D08AX01|hydrogen peroxide
M01CB01|sodium aurothiomalate
M01AH04|parecoxib
G02CX01|atosiban
L01XE03|erlotinib
S01GX06|emedastine
N06DX01|memantine
A07BC01|pectin
