ATCCode|ATCName
V07AC|Blood transfusion, auxiliary products
D11AE|Androgens for topical use
N05BX01|mephenoxalone
J01CA06|bacampicillin
A06AG07|sorbitol
S02CA|Corticosteroids and antiinfectives in combination
J01EB|Short-acting sulfonamides
L02BG04|letrozole
B05XA01|potassium chloride
L01AA02|chlorambucil
L01AX03|temozolomide
A10BB08|gliquidone
B03AE10|various combinations
S01KX01|chymotrypsin
A07BC04|attapulgite
N06BA07|modafinil
J01FA07|josamycin
N05BA08|bromazepam
R03BC01|cromoglicic acid
G03FA10|norgestrel and estrogen
R06AA|Aminoalkyl ethers
N04BA03|levodopa, decarboxylase inhibitor and COMT inhibitor
L01DB02|daunorubicin
C10AB03|aluminium clofibrate
M02AA17|niflumic acid
R06AA07|diphenylpyraline
D08AG02|povidone-iodine
A11CA01|retinol (vit A)
C10AX|Other lipid modifying agents
R06AD52|promethazine, combinations
M04AB03|benzbromarone
S01BA05|triamcinolone
S01FA05|homatropine
J01EB20|combinations
G01AF05|econazole
C09CA06|candesartan
A02AC|Calcium compounds
J01CA51|ampicillin, combinations
S01AA17|erythromycin
J01XD02|tinidazole
N07AA01|neostigmine
J01MA14|moxifloxacin
V10XA01|sodium iodide (131I)
A01AD05|acetylsalicylic acid
A04AD02|cerium oxalate
D10AB|Preparations containing sulfur
L01XE04|sunitinib
N02BA|Salicylic acid and derivatives
H02AA02|fludrocortisone
N02BE71|paracetamol, combinations with psycholeptics
G04BA01|ammonium chloride
D07AB01|clobetasone
B01AB06|nadroparin
J01CA13|ticarcillin
J04AA03|calcium aminosalicylate
J01DH03|ertapenem
G03AA06|norgestrel and ethinylestradiol
N05AL07|levosulpiride
J05AF05|lamivudine
J05AF03|zalcitabine
N02BE01|paracetamol
A03AB19|timepidium bromide
N02BA05|salicylamide
A10BK03|empagliflozin
A10AB01|insulin (human)
J02AX05|micafungin
D07AA02|hydrocortisone
J07BF01|poliomyelitis oral, monovalent, live attenuated
V04CA02|glucose
R06AB01|brompheniramine
C02AB02|methyldopa (racemic)
A06AC08|polycarbophil calcium
M01AB08|etodolac
N05AF05|zuclopenthixol
M02AA25|aceclofenac
D03AX03|dexpanthenol
V04|DIAGNOSTIC AGENTS
R01BA01|phenylpropanolamine
M02AA15|diclofenac
C02DB02|hydralazine
M03BX08|cyclobenzaprine
D08AE|Phenol and derivatives
G02AD|Prostaglandins
G02AD01|dinoprost
S01FA03|methylscopolamine
H03AA02|liothyronine sodium
M03BX03|pridinol
R03CC12|bambuterol
S02AA15|ciprofloxacin
L03AC01|aldesleukin
M04AA03|febuxostat
R06AX22|ebastine
A07AA01|neomycin
A07EC01|sulfasalazine
J07BB02|influenza, inactivated, split virus or surface antigen
A10BB12|glimepiride
J01FA01|erythromycin
R03BA05|fluticasone
C10AB04|gemfibrozil
N01AF|Barbiturates, plain
D01AE13|selenium sulfide
V03AF05|amifostine
A11HA06|pyridoxal phosphate
N06BX03|piracetam
V09FX01|technetium (99mTc) pertechnetate
R02AD02|lidocaine
N05AF03|chlorprothixene
R03CK|Adrenergics and other drugs for obstructive airway diseases
L01DB03|epirubicin
D06AA01|demeclocycline
D01AC05|isoconazole
N02B|OTHER ANALGESICS AND ANTIPYRETICS
N02BE53|phenacetin, combinations excl. psycholeptics
C02KX01|bosentan
D01AA02|natamycin
A16AB04|agalsidase beta
V03AF07|rasburicase
A11AA04|multivitamins and trace elements
D01AC08|ketoconazole
C04AE54|dihydroergocristine, combinations
B01AB01|heparin
R03DA03|proxyphylline
C04AE04|dihydroergocristine
J06BB02|tetanus immunoglobulin
V08CA01|gadopentetic acid
H03AA01|levothyroxine sodium
J01XX08|linezolid
A12AA04|calcium carbonate
J05AB14|valganciclovir
J05AB11|valaciclovir
C05BB05|phenol
S01AA11|gentamicin
D07XB01|flumetasone
R02AA20|various
V08CA03|gadodiamide
J01ED01|sulfadimethoxine
J01CA12|piperacillin
N01AH01|fentanyl
N02AC04|dextropropoxyphene
G01AX12|ciclopirox
N03AX12|gabapentin
S01CB05|fluorometholone
C02KX02|ambrisentan
A10BF01|acarbose
H03CA|Iodine therapy
M01AG02|tolfenamic acid
S02DC|Indifferent preparations
R01AD05|budesonide
B01AC07|dipyridamole
S01ED03|levobunolol
J02AC02|itraconazole
C04AX20|buflomedil
N01AB01|halothane
A03CC|Other antispasmodics in combination with psycholeptics
C01AC01|g-strophanthin
R07AX|Other respiratory system products
J01XX|Other antibacterials
A16AB09|idursulfase
R03DA51|diprophylline, combinations
N05BA17|fludiazepam
D01AC14|sertaconazole
D06AX02|chloramphenicol
A03B|BELLADONNA AND DERIVATIVES, PLAIN
N01BC01|cocaine
G01AF08|tioconazole
D07AC03|desoximetasone
D07AB06|fluorometholone
C10AB09|etofibrate
N04BD02|rasagiline
G04BE07|apomorphine
V06|GENERAL NUTRIENTS
A07XA|Other antidiarrheals
H01CB03|lanreotide
J01DC01|cefoxitin
A10BB31|acetohexamide
D10AE01|benzoyl peroxide
J01XX07|nitroxoline
B03AC06|Show text from Guidelines
R06AX15|mebhydrolin
R03CB02|methoxyphenamine
N01B|ANESTHETICS, LOCAL
R03A|ADRENERGICS, INHALANTS
V08BA02|barium sulfate without suspending agents
D08AC02|chlorhexidine
R02AA06|cetylpyridinium
V03AN01|oxygen
J01DH02|meropenem
A07BC02|kaolin
A03AB14|pipenzolate
B01AD12|protein C
R03CB|Non-selective beta-adrenoreceptor agonists
A03AA30|piperidolate
S01HA03|tetracaine
N04AA01|trihexyphenidyl
A10AE04|insulin glargine
B02BA|Vitamin K
A01AC01|triamcinolone
G04BD08|solifenacin
C09CA02|eprosartan
V09EX03|xenon (133Xe) gas
B03AB02|saccharated iron oxide
D01AC20|imidazoles/triazoles in combination with corticosteroids
N07AX01|pilocarpine
S01BA13|rimexolone
S01XA06|ethylmorphine
R03AB02|isoprenaline
D01AC03|econazole
D05AX05|tazarotene
V08AB|Watersoluble, nephrotropic, low osmolar X-ray contrast media
M01AB01|indometacin
J01XX04|spectinomycin
B03AB|Iron trivalent, oral preparations
P03BX|Other insecticides and repellents
L03AX13|glatiramer acetate
M03AC10|mivacurium chloride
C01CA01|etilefrine
L03AX03|BCG vaccine
B05CB|Salt solutions
L01AD01|carmustine
M05BA02|clodronic acid
R05DB16|dibunate
C09CA07|telmisartan
V07AD|Blood tests, auxiliary products
S01XA03|sodium chloride, hypertonic
M01AE11|tiaprofenic acid
C01EA01|alprostadil
N01BB09|ropivacaine
R03AK06|salmeterol and fluticasone
M02AC|Preparations with salicylic acid derivatives
J01CG|Beta-lactamase inhibitors
S01AX03|zinc compounds
J01GB03|gentamicin
L01DB06|idarubicin
G02CA01|ritodrine
R05DA09|dextromethorphan
A06AD02|magnesium oxide
C05AD07|pramocaine
J05AE02|indinavir
V09CA|Technetium (99mTc) compounds
N06AA14|melitracen
D01A|ANTIFUNGALS FOR TOPICAL USE
D07XA01|hydrocortisone
A04AD04|chlorobutanol
L01BC06|capecitabine
J01DD08|cefixime
L02BA01|tamoxifen
N04BA01|levodopa
G01AA|Antibiotics
J01EE02|sulfadiazine and trimethoprim
M01AE03|ketoprofen
N02CC03|zolmitriptan
C07AA06|timolol
H02AB08|triamcinolone
L01CA03|vindesine
V04CF01|tuberculin
J05AE|Protease inhibitors
V08BA01|barium sulfate with suspending agents
J07AJ02|pertussis, purified antigen
N05CD01|flurazepam
J01CE01|benzylpenicillin
B03AA07|ferrous sulfate
V01AA09|textiles
S01CA02|prednisolone and antiinfectives
N05CD03|flunitrazepam
B03AC02|Show text from Guidelines
L01XC07|bevacizumab
L01AA03|melphalan
J05AF04|stavudine
A01AD11|various
J06AA03|snake venom antiserum
A16AA03|glutamine
C01BA01|quinidine
N06AA09|amitriptyline
R05DB13|butamirate
D08AX|Other antiseptics and disinfectants
J01CA09|azlocillin
A07EB01|cromoglicic acid
S01AA30|combinations of different antibiotics
C01EB10|adenosine
L01BB06|clofarabine
A11HA03|tocopherol (vit E)
C09BA02|enalapril and diuretics
L01BB02|mercaptopurine
A12AX|Calcium, combinations with vitamin D and/or other drugs
R03AC12|salmeterol
N05BE01|buspirone
A03FA04|bromopride
A03AB21|fenpiverinium
J01MA09|sparfloxacin
R01AB06|xylometazoline
D04AA10|promethazine
B01AB|Heparin group
A16AX05|zinc acetate
D07AA01|methylprednisolone
N05AN01|lithium
B01AD04|urokinase
B05D|PERITONEAL DIALYTICS
B05AA07|hydroxyethylstarch
V03AB03|edetates
B05XB01|arginine hydrochloride
J01AA03|chlortetracycline
G01AX05|nifuratel
S01CB03|hydrocortisone
C10AD01|niceritrol
L02AA04|fosfestrol
G03FA02|hydroxyprogesterone and estrogen
N02AE01|buprenorphine
A07AC01|miconazole
A11EA|Vitamin B-complex, plain
J07BC20|combinations
A11CC04|calcitriol
N06CA01|amitriptyline and psycholeptics
G03AC|Progestogens
C03AA|Thiazides, plain
J01CR05|piperacillin and enzyme inhibitor
J07BC02|hepatitis A, inactivated, whole virus
C05BB04|sodium tetradecyl sulfate
J01R|COMBINATIONS OF ANTIBACTERIALS
A07AX|Other intestinal antiinfectives
L01AA01|cyclophosphamide
S01AA01|chloramphenicol
D08AJ03|cetylpyridinium
N01BB04|prilocaine
H01BB03|carbetocin
A11CC05|colecalciferol
R02AB01|neomycin
J07CA06|diphtheria-hemophilus influenzae B-pertussis-poliomyelitis-tetanus
V09BA03|technetium (99mTc) pyrophosphate
J01D|OTHER BETA-LACTAM ANTIBACTERIALS
A16AB05|laronidase
J07BM02|papillomavirus (human types 16, 18)
G03XA01|danazol
C03BA05|mefruside
C02AB01|methyldopa (levorotatory)
B05XA06|potassium phosphate, incl. combinations with other potassium salts
D01AC10|bifonazole
D07BA04|hydrocortisone and antiseptics
J04AA|Aminosalicylic acid and derivatives
H01CC02|cetrorelix
A06AB04|phenolphthalein
G03CC|Estrogens, combinations with other drugs
D05BA01|trioxysalen
M03AC01|pancuronium
N05BA03|medazepam
A11DA01|thiamine (vit B1)
R06AX13|loratadine
D09AA|Medicated dressings with antiinfectives
A16AB03|agalsidase alfa
C09XA02|aliskiren
P02BX|Other antitrematodal agents
N05AE04|ziprasidone
A06AC01|ispaghula (psylla seeds)
V06DC|Carbohydrates
J01DB01|cefalexin
M01AE12|oxaprozin
C02LG51|dihydralazine and diuretics, combinations with other drugs
J01RA02|sulfonamides, combinations with other antibacterials (excl. trimethoprim)
D07AC08|fluocinonide
S01EB02|carbachol
S02CA06|dexamethasone and antiinfectives
A02AD02|magaldrate
V01AA11|animals
G03GB02|clomifene
R05CB02|bromhexine
J01BA02|thiamphenicol
A08AA10|sibutramine
A10AB05|insulin aspart
G03GA03|serum gonadotrophin
V03AE03|lanthanum carbonate
C02CA04|doxazosin
N06AA10|nortriptyline
D10AD54|isotretinoin, combinations
C04AD03|pentoxifylline
R03DB05|aminophylline and adrenergics
R06AX09|azatadine
J01DC07|cefotiam
V09G|CARDIOVASCULAR SYSTEM
B03BA01|cyanocobalamin
A03BA|Belladonna alkaloids, tertiary amines
N03AA|Barbiturates and derivatives
H01BA04|terlipressin
M05BA04|alendronic acid
D07AC01|betamethasone
B03BA53|hydroxocobalamin, combinations
R01AD06|betamethasone
S01AA13|fusidic acid
A03|DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A09A|DIGESTIVES, INCL. ENZYMES
C09DA|Angiotensin II antagonists and diuretics
J01MA01|ofloxacin
N05AB02|fluphenazine
D05AA|Tars
C01BD|Antiarrhythmics, class III
S02AA07|neomycin
A11HA|Other plain vitamin preparations
M01AA01|phenylbutazone
N05AA05|triflupromazine
R05DA05|opium alkaloids with morphine
C04AC01|nicotinic acid
S01F|MYDRIATICS AND CYCLOPLEGICS
G02CC03|benzydamine
N02BA01|acetylsalicylic acid
G01AF01|metronidazole
C10AA01|simvastatin
V07|ALL OTHER NON-THERAPEUTIC PRODUCTS
C04AA01|isoxsuprine
N06CA02|melitracen and psycholeptics
C10BA02|simvastatin and ezetimibe
J06BA02|immunoglobulins, normal human, for intravascular adm.
V09FX|Various thyroid diagnostic radiopharmaceuticals
G04BC|Urinary concrement solvents
G03AB06|gestodene and ethinylestradiol
J04BA02|dapsone
A11GB01|ascorbic acid (vit C) and calcium
C02AB|Methyldopa
B03BB01|folic acid
D08AE04|triclosan
L01BB05|fludarabine
V08AD01|ethyl esters of iodised fatty acids
D05AX52|calcipotriol, combinations
R02AA02|dequalinium
A10BB09|gliclazide
M03AC03|vecuronium
C03DA01|spironolactone
G03FA12|medroxyprogesterone and estrogen
C07AG02|carvedilol
B02BD04|coagulation factor IX
S01AA20|antibiotics in combination with other drugs
C07AB07|bisoprolol
G02CB03|cabergoline
R03DX07|roflumilast
B01AC16|eptifibatide
M03BA03|methocarbamol
S02DA01|lidocaine
A06AG20|combinations
D08AJ02|cetrimonium
D08AJ|Quaternary ammonium compounds
A07BC|Other intestinal adsorbents
R03DA|Xanthines
P01CX01|pentamidine isethionate
V06DE|Amino acids/carbohydrates/minerals/vitamins, combinations
A16AX06|miglustat
A09AA04|tilactase
G03HB01|cyproterone and estrogen
N05CD04|estazolam
A01AB18|clotrimazole
D11AX10|finasteride
G02AB02|ergot alkaloids
G03CA07|estrone
B06A|OTHER HEMATOLOGICAL AGENTS
R01AB|Sympathomimetics, combinations excl. corticosteroids
S01GA02|tetryzoline
M05BA03|pamidronic acid
N01AB04|enflurane
G03CA03|estradiol
C04AF01|kallidinogenase
H02AB05|paramethasone
C05AA05|betamethasone
J01ED20|combinations
C09AA04|perindopril
S01EA05|brimonidine
G01AF15|butoconazole
A05C|DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION
C01EA|Prostaglandins
C04AC03|inositol nicotinate
A07EA03|prednisone
A11GB|Ascorbic acid (vitamin C), combinations
C01AX|Other cardiac glycosides
R03DA01|diprophylline
C10AB06|simfibrate
V06D|OTHER NUTRIENTS
R05CB03|carbocisteine
V01AA03|house dust mites
C04AE02|nicergoline
V07AY|Other non-therapeutic auxiliary products
V01AA08|food
G01AX02|inosine
J01CR02|amoxicillin and enzyme inhibitor
J07BC01|hepatitis B, purified antigen
N05CA06|secobarbital
V08AB06|iotrolan
R01AA02|cyclopentamine
J02AX|Other antimycotics for systemic use
D05AC01|dithranol
L02AA|Estrogens
A12CB|Zinc
J01CA08|pivmecillinam
J01ED03|sulfametomidine
C05AA04|prednisolone
J02AC|Triazole derivatives
P02CE01|levamisole
A10AD01|insulin (human)
C07AA03|pindolol
D02AC|Soft paraffin and fat products
C01EB17|ivabradine
D02BB01|betacarotene
S03AA06|gentamicin
L02AB01|megestrol
A08AA|Centrally acting antiobesity products
N06AA21|maprotiline
J01MA04|enoxacin
R03DX|Other systemic drugs for obstructive airway diseases
D03|PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS
D07AB03|flumetasone
G01AB|Arsenic compounds
A03AA01|oxyphencyclimine
M01AB05|diclofenac
A16AA|Amino acids and derivatives
R01BA52|pseudoephedrine, combinations
C01CA30|combinations
C05AD01|lidocaine
S01AA02|chlortetracycline
C02CA01|prazosin
D08AC52|chlorhexidine, combinations
N06DA01|tacrine
C05AA06|fluorometholone
G02AD02|dinoprostone
B05CA04|sulfamethizole
G01AF06|ornidazole
D07AA|Corticosteroids, weak (group I)
B02BD02|coagulation factor VIII
M01AB06|alclofenac
B06AA07|trypsin
J07BD01|measles, live attenuated
A12BA51|potassium chloride, combinations
A07AA09|vancomycin
N01BB52|lidocaine, combinations
G03HA01|cyproterone
H02AB|Glucocorticoids
R03CB53|orciprenaline, combinations
D07BC02|fluocinolone acetonide and antiseptics
A11CA|Vitamin A, plain
A16AA01|levocarnitine
R01BA53|phenylephrine, combinations
B05CA08|ethacridine lactate
M03AC09|rocuronium bromide
N02BA57|ethenzamide, combinations excl. psycholeptics
D03AX09|crilanomer
D01AE18|tolnaftate
B05XA11|magnesium chloride
J01DD14|ceftibuten
G04CB01|finasteride
M04AA01|allopurinol
A09AB01|glutamic acid hydrochloride
J01DD01|cefotaxime
A01AB21|chlortetracycline
N02AA05|oxycodone
J01AA04|lymecycline
J01CA18|hetacillin
A12CC10|magnesium oxide
M01AB15|ketorolac
G02CA03|fenoterol
C01EB09|ubidecarenone
L01XX11|estramustine
J01EE01|sulfamethoxazole and trimethoprim
J04AM03|ethambutol and isoniazid
J01ED05|sulfamethoxypyridazine
B06AA04|chymotrypsin
V03AB23|acetylcysteine
N05CM18|dexmedetomidine
A02AB03|aluminium phosphate
N02AC54|dextropropoxyphene, combinations excl. psycholeptics
L04AX01|azathioprine
N07BC51|buprenorphine, combinations
B03AB04|ferric hydroxide
S01BA09|clobetasone
A07BA|Charcoal preparations
A07EC02|mesalazine
G01AD01|lactic acid
R01AD07|tixocortol
D04AB06|tetracaine
N05AB06|trifluoperazine
A07XA51|albumin tannate, combinations
R03AB03|orciprenaline
L03AB04|interferon alfa-2a
J05AE08|atazanavir
S01GX10|epinastine
N01AH03|sufentanil
P01BC01|quinine
N03AG04|vigabatrin
D10AD02|retinol
R06AX04|phenindamine
D11AC06|povidone-iodine
N02BE54|bucetin, combinations excl. psycholeptics
B03AA|Iron bivalent, oral preparations
C07AB03|atenolol
G04BD04|oxybutynin
B02BD07|coagulation factor XIII
D06BB06|penciclovir
C08CA01|amlodipine
G03EB|Androgen, progestogen and estrogen in combination
L01XE05|sorafenib
G03AA13|norelgestromin and ethinylestradiol
C09DA07|telmisartan and diuretics
A03CA34|propantheline and psycholeptics
B03AB01|ferric sodium citrate
R05X|OTHER COLD PREPARATIONS
A01AB|Antiinfectives and antiseptics for local oral treatment
A12BA|Potassium
D11AX13|monobenzone
J01CA03|carbenicillin
C09BB05|ramipril and felodipine
B01AB04|dalteparin
L01AB01|busulfan
V04CC01|sorbitol
A03C|ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS
A11DB|Vitamin B1 in combination with vitamin B6 and/or vitamin B12
S01BC04|flurbiprofen
A03ED|Antispasmodics in combination with other drugs
A07FA|Antidiarrheal microorganisms
L01XA02|carboplatin
N01BB20|combinations
A01AC03|hydrocortisone
A10BX01|guar gum
S01HA05|procaine
J07BE01|mumps, live attenuated
D11AX57|collagen, combinations
N06AX21|duloxetine
C10AB05|fenofibrate
V09AA01|technetium (99mTc) exametazime
C01BA02|procainamide
J07AJ|Pertussis vaccines
A09AB02|betaine hydrochloride
J01DC05|cefotetan
N04AC01|benzatropine
D07AC10|diflorasone
D01AC15|fluconazole
R05CA10|combinations
A05BA04|citiolone
S01BC06|piroxicam
S01GA52|tetryzoline, combinations
G03CA01|ethinylestradiol
B05AA06|gelatin agents
B05AA01|albumin
D04AA34|chlorphenoxamine
G03BA03|testosterone
A12AA08|calcium glycerylphosphate
N01BB10|levobupivacaine
N07AA51|neostigmine, combinations
L02AA03|ethinylestradiol
C09DA04|irbesartan and diuretics
G03AC09|desogestrel
J01DE|Fourth-generation cephalosporins
B01AC13|abciximab
N05BB01|hydroxyzine
G04BE03|sildenafil
D01AC09|sulconazole
N05CF03|zaleplon
G01AA07|oxytetracycline
N02BA06|salsalate
D07AC13|mometasone
S01ED54|metipranolol, combinations
A10BB05|tolazamide
G03AC08|etonogestrel
A02BC02|pantoprazole
D06AA04|tetracycline
C02LA51|reserpine and diuretics, combinations with other drugs
S03AA08|chloramphenicol
R03AC02|salbutamol
A10BH05|linagliptin
N05AD08|droperidol
V06DC02|fructose
D08AH30|clioquinol
V03AB17|methylthioninium chloride
D03AX04|calcium pantothenate
A14AA|Androstan derivatives
A02BX07|gefarnate
G03DC06|etynodiol
A02AB04|dihydroxialumini sodium carbonate
S01AX|Other antiinfectives
A03AX04|pinaverium
A02AF02|ordinary salt combinations and antiflatulents
A02AA04|magnesium hydroxide
R07AB02|nikethamide
L01XD01|porfimer sodium
L01XX|Other antineoplastic agents
R02A|THROAT PREPARATIONS
A03BB|Belladonna alkaloids, semisynthetic, quaternary ammonium compounds
C04AX10|moxisylyte
S01AX12|Show text from Guidelines
C03AA05|polythiazide
A03BA03|hyoscyamine
R01AA14|epinephrine
D10AE51|benzoyl peroxide, combinations
B03AE01|iron, vitamin B12 and folic acid
A02AA02|magnesium oxide
D03A|CICATRIZANTS
G01AA05|chloramphenicol
A05AX03|cyclobutyrol
S03AA03|polymyxin B
J01DC09|cefmetazole
D10AA03|dexamethasone
J01ED07|sulfamerazine
N05CD|Benzodiazepine derivatives
G03D|PROGESTOGENS
J01GA01|streptomycin
R05DA20|combinations
M01AX05|glucosamine
C08CA07|nisoldipine
N02BA07|ethenzamide
S01HA02|oxybuprocaine
J05AF06|abacavir
V03AB04|pralidoxime
C01CA02|isoprenaline
M01AB55|diclofenac, combinations
A10AB06|insulin glulisine
N05CA21|allobarbital
S01ED51|timolol, combinations
V09HX01|gallium (67Ga) citrate
A10BB01|glibenclamide
R03BB04|tiotropium bromide
R03AK07|formoterol and budesonide
S01AA09|tetracycline
C05AA09|dexamethasone
R06AA57|diphenylpyraline, combinations
G01AA10|clindamycin
G03GA04|urofollitropin
C09DB01|valsartan and amlodipine
D11AC03|selenium compounds
A12AA03|calcium gluconate
N06BC01|caffeine
C01DA58|isosorbide dinitrate, combinations
M01AB11|acemetacin
A10BD04|glimepiride and rosiglitazone
A05|BILE AND LIVER THERAPY
A10AC01|insulin (human)
D07XB02|triamcinolone
C01CA17|midodrine
L02AA01|diethylstilbestrol
G02CC01|ibuprofen
R06AX25|mizolastine
C03DB01|amiloride
V10XX01|sodium phosphate (32P)
N07AB02|bethanechol
J01CA01|ampicillin
A02AC01|calcium carbonate
R03AC09|tretoquinol
J01DC03|cefamandole
C10AB01|clofibrate
S01BC|Antiinflammatory agents, non-steroids
R05F|COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS
A03AC|Synthetic antispasmodics, amides with tertiary amines
A04AD51|scopolamine, combinations
J05AR02|lamivudine and abacavir
C10AA08|pitavastatin
C02DC01|minoxidil
N06AA02|imipramine
B01AC09|epoprostenol
G04BA03|calcium chloride
A12CC03|magnesium gluconate
J01GB05|neomycin
R01BA03|phenylephrine
D01AC12|fenticonazole
L01BC05|gemcitabine
L04AA24|abatacept
A05BA|Liver therapy
B02BX|Other systemic hemostatics
A01AB23|minocycline
D07XB|Corticosteroids, moderately potent, other combinations
J01MA15|gemifloxacin
A10BH03|saxagliptin
C03CA04|torasemide
N02BB04|propyphenazone
N02BB|Pyrazolones
A10BG02|rosiglitazone
R03AK03|Show text from Guidelines
D06AX|Other antibiotics for topical use
J01FA15|telithromycin
B02BC09|epinephrine
L01AA06|ifosfamide
R05CA04|ipecacuanha
A16A|OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
G01AF12|fenticonazole
R05DA01|ethylmorphine
G03DB02|megestrol
D11AC01|cetrimide
L01CB02|teniposide
G02AB01|methylergometrine
B05CB03|magnesium citrate
R02AA05|chlorhexidine
R05CA08|creosote
R06AX27|desloratadine
N06AX|Other antidepressants
A05AA|Bile acid preparations
M02AA09|bufexamac
N05AD01|haloperidol
N04BD01|selegiline
A06AD15|macrogol
N05AX12|aripiprazole
P01AB06|nimorazole
A11AA03|multivitamins and other minerals, incl. combinations
S01ED05|carteolol
R01AX06|mupirocin
L04AA10|sirolimus
B05CA09|neomycin
R05FA01|opium derivatives and mucolytics
M01AH01|celecoxib
R01AD|Corticosteroids
D07BB03|triamcinolone and antiseptics
P03AC02|bioallethrin
J07BG01|rabies, inactivated, whole virus
G03AA10|gestodene and ethinylestradiol
A11CB|Vitamin A and D in combination
A02AD05|almasilate
L03AB07|interferon beta-1a
H01AC03|mecasermin
A10AB03|insulin (pork)
V03AB21|potassium iodide
C05AX05|tribenoside
S01AB04|sulfacetamide
B05XB|Amino acids
J05AF10|entecavir
A01AA01|sodium fluoride
A16AX|Various alimentary tract and metabolism products
L04AA09|Show text from Guidelines
D01AE|Other antifungals for topical use
S01XA|Other ophthalmologicals
R03CA02|ephedrine
D07AC06|diflucortolone
J05AH02|oseltamivir
S01LA04|ranibizumab
C09AA16|imidapril
A06AB02|bisacodyl
R06AB54|chlorphenamine, combinations
N04BC01|bromocriptine
N02CC02|naratriptan
D04AB01|lidocaine
D01AE16|amorolfine
D08AX53|propanol, combinations
A06AB56|senna glycosides, combinations
A03AD|Papaverine and derivatives
C04AC|Nicotinic acid and derivatives
C05AD04|cinchocaine
J07AM01|tetanus toxoid
N05CA02|amobarbital
A07DA03|loperamide
H01CB01|somatostatin
A03AB02|glycopyrronium bromide
N02BG|Other analgesics and antipyretics
J04AM02|rifampicin and isoniazid
C07AA02|oxprenolol
S01AD01|idoxuridine
R02AD03|cocaine
D06AA02|chlortetracycline
A11A|MULTIVITAMINS, COMBINATIONS
S01HA07|lidocaine
B03AB05|ferric oxide polymaltose complexes
