ATCCode|ATCName
D06BA|Sulfonamides
B05BB|Solutions affecting the electrolyte balance
G04BE08|tadalafil
J04AD01|protionamide
V04CE|Tests for liver functional capacity
S02AA03|boric acid
A12CC09|magnesium orotate
G01AF07|isoconazole
G01AA03|amphotericin B
J07BB01|influenza, inactivated, whole virus
A06AB07|cascara
S01AX13|Show text from Guidelines
G03DA|Pregnen (4) derivatives
G02CB01|bromocriptine
N06AX11|mirtazapine
A03CB02|belladonna total alkaloids and psycholeptics
G03AA09|desogestrel and ethinylestradiol
M01AX01|nabumetone
V10AA|Yttrium (90Y) compounds
M02AA06|etofenamate
M09AB|Enzymes
D06BB02|tromantadine
A06AC|Bulk-forming laxatives
L01DB01|doxorubicin
N05CM11|bromides
N02BE51|paracetamol, combinations excl. psycholeptics
A02BC01|omeprazole
C02LG02|hydralazine and diuretics
R01AA09|tramazoline
G03DA02|medroxyprogesterone
A07BA01|medicinal charcoal
G04BD|Drugs for urinary frequency and incontinence
M03AA01|alcuronium
R03CC07|pirbuterol
J02AC03|voriconazole
R03AC04|fenoterol
G03FA04|progesterone and estrogen
A06A|DRUGS FOR CONSTIPATION
D01AE02|methylrosaniline
J01GB04|kanamycin
D07AC15|beclometasone
R03AC16|procaterol
A02AB10|combinations
A14AA02|stanozolol
S01FB02|ephedrine
B01AC11|iloprost
A03CB31|hyoscyamine and psycholeptics
A03AX|Other drugs for functional gastrointestinal disorders
J01DF01|aztreonam
J01DD62|cefoperazone, combinations
J01ED|Long-acting sulfonamides
A06AB|Contact laxatives
V09CX02|sodium iodohippurate (131I)
B05CB10|combinations
H05BA01|calcitonin (salmon synthetic)
J01XB01|colistin
N01BA|Esters of aminobenzoic acid
C10AA05|atorvastatin
A06AD13|sodium sulfate
V09CA01|technetium (99mTc) pentetic acid
N01BB06|cinchocaine
A11JC|Vitamins, other combinations
A10BH04|alogliptin
N02BB74|propyphenazone, combinations with psycholeptics
R06AD07|mequitazine
D07AA03|prednisolone
A01AB12|hexetidine
R06AE|Piperazine derivatives
M05BB03|alendronic acid and colecalciferol
N05CD06|lormetazepam
B03BA03|hydroxocobalamin
D01AA01|nystatin
A03AA03|camylofin
L01XX19|irinotecan
A03AA07|dicycloverine
B05CA03|nitrofural
L01DC01|bleomycin
M01AB03|tolmetin
D07CB01|triamcinolone and antibiotics
M01AE02|naproxen
L01DA01|dactinomycin
H01BA02|desmopressin
A10BD|Combinations of oral blood glucose lowering drugs
C03DA04|eplerenone
R03BA04|betamethasone
A06AC03|sterculia
B01AC30|combinations
B05BA02|fat emulsions
S02DA|Analgesics and anesthetics
N02BA03|choline salicylate
C05AA10|fluocinolone acetonide
D11AX12|pyrithione zinc
S01BA03|cortisone
N01AB06|isoflurane
C05AX04|zinc preparations
B05DA|Isotonic solutions
D10AF02|erythromycin
C03CA01|furosemide
C09DA01|losartan and diuretics
M01AX07|benzydamine
A06AB08|sodium picosulfate
A10BH02|vildagliptin
C03AA01|bendroflumethiazide
L04AA02|muromonab-CD3
L01CA01|vinblastine
S01XA15|ascorbic acid
J01RA01|penicillins, combinations with other antibacterials
H01CC01|ganirelix
M05BA06|ibandronic acid
A06AD10|mineral salts in combination
D05AX03|calcitriol
G03DC01|allylestrenol
A10BX04|Show text from Guidelines
A01AA04|stannous fluoride
R06AX11|astemizole
R03DA54|theophylline, combinations excl. psycholeptics
J01XD01|metronidazole
G04CA01|alfuzosin
G01AF02|clotrimazole
J01CF04|oxacillin
C02LA01|reserpine and diuretics
V03AE01|polystyrene sulfonate
D08AC|Biguanides and amidines
D08AE03|phenol
C10AC|Bile acid sequestrants
J01CA16|sulbenicillin
S01GX08|ketotifen
N05CA19|thiopental
B05BC|Solutions producing osmotic diuresis
L04AX04|lenalidomide
N05CM03|bromisoval
J01CE10|benzathine phenoxymethylpenicillin
V04CL|Tests for allergic diseases
V04CJ01|thyrotropin
R05DB07|oxolamine
V08DA01|microspheres of human albumin
D07CC01|betamethasone and antibiotics
B05ZA|Hemodialytics, concentrates
A12CC01|magnesium chloride
V08|CONTRAST MEDIA
J01XX05|methenamine
A10AD04|insulin lispro
D01AC02|miconazole
J01DH|Carbapenems
N05CX01|meprobamate, combinations
S02AA30|antiinfectives, combinations
R01AX03|ipratropium bromide
J01XD03|ornidazole
S01BC05|ketorolac
J01DC02|cefuroxime
N01AF03|thiopental
J01DB05|cefadroxil
A12CB02|zinc gluconate
J07AL02|pneumococcus, purified polysaccharides antigen conjugated
A12CE|Selenium
J06BB04|hepatitis B immunoglobulin
M03BX01|baclofen
D03AA|Cod-liver oil ointments
S01EX|Other antiglaucoma preparations
N06AA04|clomipramine
V03AX|Other therapeutic products
A02BX01|carbenoxolone
R01AC03|azelastine
S02AA09|chlorhexidine
M01AC06|meloxicam
A02AF|Antacids with antiflatulents
C01AA04|digitoxin
C04AX|Other peripheral vasodilators
R03BA06|triamcinolone
S02CA03|hydrocortisone and antiinfectives
N06AX22|agomelatine
R03DB04|theophylline and adrenergics
V04CD03|sermorelin
C02DD01|nitroprusside
S01FA01|atropine
J01EB03|sulfadimidine
J05AB09|famciclovir
S01GA55|phenylephrine, combinations
J07BF|Poliomyelitis vaccines
R05CB10|combinations
J02AX04|caspofungin
P02CX|Other antinematodals
D03BA|Proteolytic enzymes
M04AB01|probenecid
A07XA01|albumin tannate
N04AB02|orphenadrine (chloride)
B03AC01|Show text from Guidelines
B05C|IRRIGATING SOLUTIONS
C04AE|Ergot alkaloids
G03FB01|norgestrel and estrogen
G01AX11|povidone-iodine
R02AA|Antiseptics
V03AB14|protamine
C10AA04|fluvastatin
C03BA02|quinethazone
C02DB|Hydrazinophthalazine derivatives
D01AA20|combinations
C10AD|Nicotinic acid and derivatives
R03CB03|orciprenaline
D08AE02|policresulen
J01AA12|tigecycline
J01GB08|sisomicin
J01GB01|tobramycin
R05DB01|benzonatate
A01AC02|dexamethasone
H02AB01|betamethasone
G01AX|Other antiinfectives and antiseptics
J02AB|Imidazole derivatives
J01MA07|lomefloxacin
D10A|ANTI-ACNE PREPARATIONS FOR TOPICAL USE
J05AE01|saquinavir
M01AE17|dexketoprofen
J05AG01|nevirapine
N04AA02|biperiden
P03AA03|mesulfen
V09|DIAGNOSTIC RADIOPHARMACEUTICALS
L04AA23|natalizumab
B05X|I.V. SOLUTION ADDITIVES
C10BX03|atorvastatin and amlodipine
G03GA01|chorionic gonadotrophin
P02CB01|piperazine
A02BC05|esomeprazole
L01XX14|tretinoin
J01EC|Intermediate-acting sulfonamides
J07BD52|measles, combinations with mumps and rubella, live attenuated
S01XA11|nandrolone
J01EE|Combinations of sulfonamides and trimethoprim, incl. derivatives
D07XB04|fluorometholone
C08CA15|benidipine
M03BB03|chlorzoxazone
C04AX01|cyclandelate
N05AL05|amisulpride
L02AE03|goserelin
D07BB01|flumetasone and antiseptics
C05|VASOPROTECTIVES
M02AA10|ketoprofen
A11HA04|riboflavin (vit B2)
C07AA15|carteolol
B03AA02|ferrous fumarate
R05CA09|guaiacolsulfonate
A02AA|Magnesium compounds
C05A|AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
R05DB02|benproperine
N02AA03|hydromorphone
V09AA02|technetium (99mTc) bicisate
J01DC08|loracarbef
N07BC01|buprenorphine
L01BC02|fluorouracil
N02CX|Other antimigraine preparations
N06BX06|citicoline
J05AR04|zidovudine, lamivudine and abacavir
R02AB03|fusafungine
L01BA01|methotrexate
G03EA01|methyltestosterone and estrogen
C01BA05|ajmaline
S01AA19|ampicillin
A01AB14|benzoxonium chloride
J01DB02|cefaloridine
D06BX|Other chemotherapeutics
S01BA07|fluorometholone
A03AB17|tiemonium iodide
R03BA02|budesonide
R03DA04|theophylline
S01CA07|fluorometholone and antiinfectives
N01BX04|capsaicin
S01AA|Antibiotics
M01CC01|penicillamine
V08CA09|gadobutrol
A07AA08|kanamycin
D07AC02|fluclorolone
A06AD11|lactulose
N05CD09|brotizolam
A11JA|Combinations of vitamins
J02AA01|amphotericin B
A11JB|Vitamins with minerals
A01AA|Caries prophylactic agents
R05DA11|dimemorfan
J01CA05|carindacillin
B02BD06|von Willebrand factor and coagulation factor VIII in combination
D06AX12|amikacin
S03AA07|ciprofloxacin
S01XA14|heparin
R01AB07|oxymetazoline
A02AA03|magnesium peroxide
L01BC|Pyrimidine analogues
A07BC30|combinations
A03BA04|belladonna total alkaloids
G03GA08|choriogonadotropin alfa
A01AB09|miconazole
L02AB02|medroxyprogesterone
A06AD18|sorbitol
J01FA05|oleandomycin
G03GA05|follitropin alfa
R01BA02|pseudoephedrine
M03CA01|dantrolene
C03CA02|bumetanide
A11CA02|betacarotene
J01AA08|minocycline
L03AB08|interferon beta-1b
G03FA05|methylnortestosterone and estrogen
H01CB02|octreotide
L01XX27|arsenic trioxide
D02AE01|carbamide
V08CA10|gadoxetic acid
C10AC01|colestyramine
C02LE01|prazosin and diuretics
C10AA02|lovastatin
V04CX|Other diagnostic agents
N07CA03|flunarizine
J01AA01|demeclocycline
J01CA04|amoxicillin
R01AB01|phenylephrine
R01AA08|naphazoline
B06AA11|Show text from Guidelines
H02AB06|prednisolone
J07AG52|hemophilus influenzae B, combinations with pertussis and toxoids
N03AG01|valproic acid
R07AB01|doxapram
H03BA02|propylthiouracil
N02BA04|sodium salicylate
R03DX03|fenspiride
S01CA03|hydrocortisone and antiinfectives
V06DD|Amino acids, incl. combinations with polypeptides
B01AD11|tenecteplase
R01AD02|prednisolone
C08CA04|nicardipine
A06AD17|sodium phosphate
P01BA02|hydroxychloroquine
M03AX01|botulinum toxin
C01CA07|dobutamine
R06AE55|meclozine, combinations
N05BA12|alprazolam
H02AB10|cortisone
M05BA07|risedronic acid
M03AB01|suxamethonium
R05CB05|mesna
G02AD05|sulprostone
A03CA02|clidinium and psycholeptics
S02AA05|clioquinol
R06AA04|clemastine
M04AB02|sulfinpyrazone
C05CA04|troxerutin
A11GA|Ascorbic acid (vitamin C), plain
S01EE03|bimatoprost
B05CX01|glucose
R01AA03|ephedrine
L01CD02|docetaxel
A12BA05|potassium gluconate
G01AC|Quinoline derivatives
N07BA02|Show text from Guidelines
D08AA01|ethacridine lactate
A07EA06|budesonide
R03DA02|choline theophyllinate
A05AX|Other drugs for bile therapy
A11AA02|multivitamins and calcium
A05BA03|silymarin
J07BK01|varicella, live attenuated
N04BB01|amantadine
B05XA07|calcium chloride
B05AA05|dextran
R01AA07|xylometazoline
A03AB18|prifinium bromide
J01AA02|doxycycline
B01AC17|tirofiban
R05CA07|antimony pentasulfide
G03AA08|medroxyprogesterone and ethinylestradiol
N02BE04|bucetin
S01AA21|amikacin
N06DA02|donepezil
C09DA06|candesartan and diuretics
N06AB03|fluoxetine
P01AX02|emetine
J01DB09|cefradine
S01CA05|betamethasone and antiinfectives
B01AC|Platelet aggregation inhibitors excl. heparin
N03AX16|pregabalin
R01AD03|dexamethasone
D07CC04|beclometasone and antibiotics
J01XE01|nitrofurantoin
S01HA04|proxymetacaine
D10AD|Retinoids for topical use in acne
B05BB02|electrolytes with carbohydrates
N03AF01|carbamazepine
G01AE01|sulfatolamide
A10BB04|glibornuride
A09AA02|multienzymes (lipase, protease etc.)
J07AG51|hemophilus influenzae B, combinations with toxoids
M01AC01|piroxicam
J04AM06|rifampicin, pyrazinamide, ethambutol and isoniazid
D07XC03|mometasone
A02AF01|magaldrate and antiflatulents
G03AA05|norethisterone and ethinylestradiol
C08CA12|barnidipine
D01AE20|combinations
D08AF01|nitrofural
D05AX02|calcipotriol
A10BX03|nateglinide
A11CC03|alfacalcidol
D01AC52|miconazole, combinations
A03AD01|papaverine
M01AE09|flurbiprofen
M03BA52|carisoprodol, combinations excl. psycholeptics
J05AF07|tenofovir disoproxil
R05CA|Expectorants
B05CX02|sorbitol
B05CB04|sodium bicarbonate
J05AF02|didanosine
S01EC03|dorzolamide
N06BX02|pyritinol
C09AA02|enalapril
V07A|ALL OTHER NON-THERAPEUTIC PRODUCTS
D08AG03|iodine
A07EA01|prednisolone
C03AA02|hydroflumethiazide
A03AX13|silicones
G04CX|Other drugs used in benign prostatic hypertrophy
V03A|ALL OTHER THERAPEUTIC PRODUCTS
D02AF|Salicylic acid preparations
G04BX|Other urologicals
V03AE02|sevelamer
D07AD01|clobetasol
C02CA|Alpha-adrenoreceptor antagonists
G02AB03|ergometrine
M01AX02|niflumic acid
A03AB|Synthetic anticholinergics, quaternary ammonium compounds
B01AC04|clopidogrel
S03BA02|prednisolone
C07AB02|metoprolol
A03FA|Propulsives
G03CA57|conjugated estrogens
C03EA01|hydrochlorothiazide and potassium-sparing agents
J07BJ01|rubella, live attenuated
C08DA01|verapamil
S01FA56|tropicamide, combinations
D07AC11|amcinonide
A06AB30|contact laxatives in combination with belladonna alkaloids
D08AJ04|cetrimide
J01GB07|netilmicin
S01ED02|betaxolol
B05AA|Blood substitutes and plasma protein fractions
G03B|ANDROGENS
N05AA02|levomepromazine
R01AB02|naphazoline
G03AB|Progestogens and estrogens, sequential preparations
R01AD53|dexamethasone, combinations
L03AB10|peginterferon alfa-2b
J01DD02|ceftazidime
R06AA52|diphenhydramine, combinations
S01XA13|alteplase
R01AA04|phenylephrine
B05Z|HEMODIALYTICS AND HEMOFILTRATES
G04BE01|alprostadil
L01BA03|raltitrexed
S01EB06|neostigmine
D06C|ANTIBIOTICS AND CHEMOTHERAPEUTICS, COMBINATIONS
D07XA02|prednisolone
S01GA51|naphazoline, combinations
N05BA05|potassium clorazepate
D01AE15|terbinafine
S01ED01|timolol
R02AA15|povidone-iodine
S02AA14|gentamicin
N02CX05|dimetotiazine
G03AC02|lynestrenol
A06AD12|lactitol
A11EC|Vitamin B-complex with minerals
R05DB04|isoaminile
G03BA02|methyltestosterone
C01DA05|pentaerithrityl tetranitrate
N05BA16|nordazepam
P03AA|Sulfur containing products
V07AX|Washing agents etc.
M01AX17|nimesulide
G01AA51|nystatin, combinations
L01XC02|rituximab
G03AC05|megestrol
V08AB07|ioversol
L01CA04|vinorelbine
D08AB|Aluminium agents
N01AB08|sevoflurane
C02DA01|diazoxide
G03DA03|hydroxyprogesterone
J02AX01|flucytosine
D08AH01|dequalinium
S01BA04|prednisolone
L04AA|Selective immunosuppressants
V08CA|Paramagnetic contrast media
R03BA07|mometasone
S01LA01|verteporfin
N07CA02|cinnarizine
L03AB11|peginterferon alfa-2a
J07AX|Other bacterial vaccines
A12CC02|magnesium sulfate
C02AA01|rescinnamine
C03AA03|hydrochlorothiazide
A09AA01|diastase
A06AD16|mannitol
G03BA|3-oxoandrosten (4) derivatives
L01XC08|panitumumab
A06AC53|sterculia, combinations
S01FA06|tropicamide
J01DD12|cefoperazone
G01AC02|clioquinol
J01FA08|troleandomycin
A10BB|Sulfonylureas
J05AB01|aciclovir
N02AA01|morphine
C07BB03|atenolol and thiazides
C05AX01|aluminium preparations
G02AB|Ergot alkaloids
H02AB09|hydrocortisone
V01AA02|grass pollen
A03CB03|atropine and psycholeptics
R01AC02|levocabastine
J01EB05|sulfafurazole
P02CC01|pyrantel
R05DB09|oxeladin
C05BA01|organo-heparinoid
A01AB06|domiphen
J01XX01|fosfomycin
R06AX|Other antihistamines for systemic use
V08CX|Other magnetic resonance imaging contrast media
J01CA|Penicillins with extended spectrum
G03CA04|estriol
D07CC06|fluocortolone and antibiotics
J07BH01|rota virus, live attenuated
M03BC51|orphenadrine, combinations
N02BB54|propyphenazone, combinations excl. psycholeptics
R01AA05|oxymetazoline
R06AB51|brompheniramine, combinations
N02CC04|rizatriptan
S03AA02|tetracycline
A12|MINERAL SUPPLEMENTS
C07AA01|alprenolol
R03CC13|clenbuterol
L03AB05|interferon alfa-2b
D08AX08|ethanol
B02BC06|thrombin
A06AD|Osmotically acting laxatives
S02DA02|cocaine
M03BB53|chlorzoxazone, combinations excl. psycholeptics
D10AD51|tretinoin, combinations
B05XX02|trometamol
J07BM01|papillomavirus (human types 6, 11, 16, 18)
D10AD04|isotretinoin
R05CB15|erdosteine
J01BA01|chloramphenicol
J05AE03|ritonavir
S01E|ANTIGLAUCOMA PREPARATIONS AND MIOTICS
C05BA03|heparin
C03AA07|cyclopenthiazide
J05AE04|nelfinavir
M01AB17|bufexamac
G01AA01|nystatin
V03AB|Antidotes
A11EX|Vitamin B-complex, other combinations
N05BA04|oxazepam
H02BX|Corticosteroids for systemic use, combinations
V08CA06|gadoversetamide
J05AF11|telbivudine
S02AA08|tetracycline
S01EB01|pilocarpine
J01CR01|ampicillin and enzyme inhibitor
D02AE|Carbamide products
L02BB03|bicalutamide
J04AB02|rifampicin
N03AA02|phenobarbital
D04AA32|diphenhydramine
H03AA05|thyroid gland preparations
D10AX30|various combinations
V08A|X-RAY CONTRAST MEDIA, IODINATED
P01AB02|tinidazole
A01AB13|tetracycline
J01CF01|dicloxacillin
B05BC01|mannitol
C01BD01|amiodarone
B03BA05|mecobalamin
N05BA|Benzodiazepine derivatives
A10BG03|pioglitazone
A10BD03|metformin and rosiglitazone
S01CB04|betamethasone
B02BB|Fibrinogen
N07XX02|riluzole
L01CD01|paclitaxel
S03AA04|chlorhexidine
C08CA02|felodipine
R06AA02|diphenhydramine
R01AD52|prednisolone, combinations
N05AF01|flupentixol
A10BD02|metformin and sulfonylureas
S01CB02|prednisolone
B02BX01|etamsylate
R06AE06|oxatomide
D06AX05|bacitracin
L02AE04|triptorelin
N02BB52|metamizole sodium, combinations excl. psycholeptics
A10BX02|repaglinide
C09BA04|perindopril and diuretics
C08CA09|lacidipine
C05AD03|benzocaine
H02AB07|prednisone
R06AB02|dexchlorpheniramine
R03CB01|isoprenaline
N06DX02|Ginkgo folium
L02BA03|fulvestrant
D10AX02|resorcinol
A07AA04|streptomycin
D10AB05|mesulfen
L01XX35|anagrelide
A09AB03|hydrochloric acid
L04AA06|mycophenolic acid
N02AG01|morphine and antispasmodics
G03AA12|drospirenone and ethinylestradiol
G01AF11|ketoconazole
L01CA02|vincristine
A03AB06|otilonium bromide
R06AA08|carbinoxamine
R03AC06|hexoprenaline
G03BB02|androstanolone
N06AA12|doxepin
H01BA01|vasopressin
G03DB01|dydrogesterone
B05CX04|mannitol
C09DA08|olmesartan medoxomil and diuretics
B05DB|Hypertonic solutions
D11AX11|hydroquinone
A07EA07|beclometasone
A03BB01|butylscopolamine
J06BB16|palivizumab
L04AA18|everolimus
N02BA51|acetylsalicylic acid, combinations excl. psycholeptics
A08AB01|orlistat
S01EA01|epinephrine
M01AB16|aceclofenac
L01AX04|dacarbazine
D03BA01|trypsin
N02AF01|butorphanol
S01GA03|xylometazoline
D07XC|Corticosteroids, potent, other combinations
V09IB01|indium (111In) pentetreotide
L03AA10|lenograstim
B02AB01|aprotinin
A12CA01|sodium chloride
A02BX04|methiosulfonium chloride
A07DA|Antipropulsives
A04AD54|chlorobutanol, combinations
H01BA06|argipressin
A04AA02|granisetron
G03GA06|follitropin beta
B05CB02|sodium citrate
A05B|LIVER THERAPY, LIPOTROPICS
M02AA21|tolmetin
A02BX12|bismuth subnitrate
J01CE02|phenoxymethylpenicillin
S01BA01|dexamethasone
J05AR05|zidovudine, lamivudine and nevirapine
J01CF05|flucloxacillin
C05BB02|polidocanol
S01EE01|latanoprost
J07AE|Cholera vaccines
G04BD02|flavoxate
V09B|SKELETON
D04AA02|mepyramine
V08CB|Superparamagnetic contrast media
N04A|ANTICHOLINERGIC AGENTS
S01AA10|natamycin
C01CA03|norepinephrine
C01EB16|ibuprofen
S01EE02|unoprostone
D10AA02|methylprednisolone
A07AX03|nifuroxazide
B05BC02|carbamide
N05BA11|prazepam
D04AB02|cinchocaine
D10AX03|azelaic acid
D03AX10|enoxolone
N07BA01|nicotine
C03AX01|hydrochlorothiazide, combinations
L03AA13|pegfilgrastim
N05CD08|midazolam
D07AB19|dexamethasone
S01GA04|oxymetazoline
S01FA04|cyclopentolate
R01BA|Sympathomimetics
V09GA04|technetium (99mTc) human albumin
S01AX07|sodium borate
P03AX|Other ectoparasiticides, incl. scabicides
C01BB02|mexiletine
N03AA03|primidone
V09GX03|chromium (51Cr) chromate labelled cells
N06BA09|atomoxetine
A09AA03|pepsin
A01AD02|benzydamine
P01AR|Arsenic compounds
G04BD07|tolterodine
M02AA18|meclofenamic acid
A06AA02|docusate sodium
D02BA02|octinoxate
B01AB02|antithrombin III
D02AB|Zinc products
R05DB05|pentoxyverine
G03AA07|levonorgestrel and ethinylestradiol
D08AX05|isopropanol
G03GA|Gonadotropins
D07AC09|budesonide
D11AX05|magnesium sulfate
B02AA01|aminocaproic acid
G03DB03|medrogestone
D10AX|Other anti-acne preparations for topical use
D07BB|Corticosteroids, moderately potent, combinations with antiseptics
J01CA15|talampicillin
A03AA|Synthetic anticholinergics, esters with tertiary amino group
B03XA01|erythropoietin
N07CA01|betahistine
A12CB01|zinc sulfate
M03B|MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS
A12AA20|calcium (different salts in combination)
A03FA03|domperidone
P02|ANTHELMINTICS
C01DX16|nicorandil
D04AB|Anesthetics for topical use
P01BC02|mefloquine
V03AC01|deferoxamine
A02X|OTHER DRUGS FOR ACID RELATED DISORDERS
A11GA01|ascorbic acid (vit C)
L02BB01|flutamide
D10AD01|tretinoin
S01XA10|inosine
R03CC09|tretoquinol
C05AX02|bismuth preparations, combinations
J01FA03|midecamycin
R06AB04|chlorphenamine
N05CM|Other hypnotics and sedatives
A02AB07|aluminium glycinate
J01EB01|sulfaisodimidine
D10BA01|isotretinoin
N02AX02|tramadol
R06AC01|mepyramine
R03DX05|omalizumab
S01BA15|fluocinolone acetonide
G04CB02|dutasteride
N05AX13|paliperidone
A12BA04|potassium hydrogencarbonate
A10AC03|insulin (pork)
G03GA02|human menopausal gonadotrophin
B01AE06|bivalirudin
A12AA09|calcium citrate lysine complex
J04AM05|rifampicin, pyrazinamide and isoniazid
D07XC04|diflucortolone
R06AB05|pheniramine
J05AX05|inosine pranobex
D01AE54|undecylenic acid, combinations
A06AG01|sodium phosphate
J02AX06|anidulafungin
D05BA|Psoralens for systemic use
L01XC06|cetuximab
S01XA20|artificial tears and other indifferent preparations
C07AB09|esmolol
N01AX07|etomidate
A16AB02|imiglucerase
J01EE06|sulfadiazine and tetroxoprim
C09AA03|lisinopril
D11AA|Antihidrotics
V03AB15|naloxone
N06AB10|escitalopram
G03EA02|testosterone and estrogen
G03CA53|estradiol, combinations
R02AB04|bacitracin
R06AE51|buclizine, combinations
D07CB05|flumetasone and antibiotics
V10XA|Iodine (131I) compounds
M03BA01|phenprobamate
A02BA06|roxatidine
V03AC02|deferiprone
C01CA04|dopamine
C01BC04|flecainide
A01AB08|neomycin
P01AX|Other agents against amoebiasis and other protozoal diseases
J01EC02|sulfadiazine
G03DB04|nomegestrol
A09AC02|multienzymes and acid preparations
V09BA02|technetium (99mTc) medronic acid
A10AD30|combinations
B03AC07|Show text from Guidelines
V09X|OTHER DIAGNOSTIC RADIOPHARMACEUTICALS
A02A|ANTACIDS
B05CB01|sodium chloride
G04BX01|magnesium hydroxide
G03BA01|fluoxymesterone
B05XA08|sodium acetate
M01AG04|meclofenamic acid
A07EC04|balsalazide
C04AA02|buphenine
N05CF01|zopiclone
B02BD|Blood coagulation factors
A11HA32|pantethine
R05FB01|cough suppressants and mucolytics
L04AA13|leflunomide
A03AX08|alverine
M02AB|Capsaicin and similar agents
S01AA03|neomycin
R01AD11|triamcinolone
D04AB07|pramocaine
D06AX07|gentamicin
A11HA30|dexpanthenol
N01BA03|tetracaine
L01XB01|procarbazine
C10AX02|probucol
V03AE|Drugs for treatment of hyperkalemia and hyperphosphatemia
J05AR03|tenofovir disoproxil and emtricitabine
R06AX07|triprolidine
R03DA20|combinations of xanthines
A10BB07|glipizide
J01MB02|nalidixic acid
R06AC04|tripelennamine
N02CX02|clonidine
S01HA|Local anesthetics
A02BX03|pirenzepine
N05BA06|lorazepam
S01EE04|travoprost
J01EB02|sulfamethizole
C01CX08|levosimendan
G04BE02|papaverine
A02BA04|nizatidine
B05XA14|sodium glycerophosphate
A14AB01|nandrolone
A11HA31|calcium pantothenate
R03BB01|ipratropium bromide
A13A|TONICS
M02AA13|ibuprofen
L04AX|Other immunosuppressants
N02AG|Opioids in combination with antispasmodics
N05CM01|methaqualone
A12CD01|sodium fluoride
N05AF04|tiotixene
G01AF04|miconazole
H03BB01|carbimazole
A03EA|Antispasmodics, psycholeptics and analgesics in combination
J05AF01|zidovudine
G03GA07|lutropin alfa
D10AF51|clindamycin, combinations
D11A|OTHER DERMATOLOGICAL PREPARATIONS
H01BB02|oxytocin
M04A|ANTIGOUT PREPARATIONS
L02BG01|aminoglutethimide
